iter	Passed	Remaining
792	1280	334
793	1281	332
794	1281	330
795	1284	329
796	1285	327
797	1289	326
798	1290	324
799	1291	322
800	1292	321
801	1293	319
802	1294	317
803	1295	315
804	1296	314
805	1301	313
806	1303	311
807	1304	310
808	1306	308
809	1306	306
810	1307	304
811	1308	302
812	1308	301
813	1312	299
814	1315	298
815	1318	297
816	1319	295
817	1320	293
818	1320	291
819	1321	290
820	1322	288
821	1323	286
822	1328	285
823	1331	284
824	1333	282
825	1334	281
826	1335	279
827	1336	277
828	1337	275
829	1339	274
830	1342	273
831	1346	271
832	1347	270
833	1348	268
834	1349	266
835	1350	264
836	1355	264
837	1358	262
838	1360	261
839	1361	259
840	1363	257
841	1373	257
842	1374	256
843	1376	254
844	1379	253
845	1384	252
846	1386	250
847	1389	249
848	1392	247
849	1396	246
850	1398	244
851	1399	243
852	1400	241
853	1402	239
854	1405	238
855	1408	236
856	1409	235
857	1410	233
858	1411	231
859	1412	229
860	1412	228
861	1413	226
862	1416	224
863	1422	223
864	1424	222
865	1425	220
866	1426	218
867	1427	217
868	1427	215
869	1430	213
870	1432	212
871	1434	210
872	1436	208
873	1437	207
874	1437	205
875	1438	203
876	1439	201
877	1440	200
878	1440	198
879	1441	196
880	1442	194
881	1444	193
882	1448	191
883	1449	190
884	1450	188
885	1451	186
886	1452	185
887	1453	183
888	1454	181
889	1456	180
890	1457	178
891	1460	176
892	1463	175
893	1464	173
894	1465	171
895	1466	170
896	1467	168
897	1468	166
898	1470	165
899	1474	163
900	1477	162
901	1478	160
902	1479	158
903	1480	157
904	1481	155
905	1487	154
906	1490	152
907	1491	151
908	1492	149
909	1493	147
910	1494	145
911	1494	144
912	1495	142
913	1497	140
914	1499	139
915	1502	137
916	1504	136
917	1505	134
918	1505	132
919	1506	131
920	1507	129
921	1508	127
922	1510	125
923	1511	124
924	1513	122
925	1515	121
926	1516	119
927	1518	117
928	1518	116
929	1519	114
930	1520	112
931	1521	110
932	1522	109
933	1524	107
934	1527	106
935	1529	104
936	1530	102
937	1531	101
938	1532	99
939	1532	97
940	1533	96
941	1534	94
942	1535	92
943	1543	91
944	1545	89
945	1546	88
946	1547	86
947	1548	84
948	1548	83
949	1549	81
950	1549	79
951	1553	78
952	1557	76
953	1559	75
954	1560	73
955	1561	71
956	1562	70
957	1563	68
958	1563	66
959	1567	65
960	1570	63
961	1572	62
962	1573	60
963	1574	58
964	1574	57
965	1575	55
966	1576	53
967	1576	52
968	1577	50
969	1580	48
970	1583	47
971	1586	45
972	1587	44
973	1588	42
974	1589	40
975	1589	39
976	1590	37
977	1591	35
